_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
11,703, ,2025-10-14,Local Road Rehabilitation,COPPERFIELD RD&lt;br&gt; From: MANSE RD&lt;br&gt; To: [550 m E] MANSE RD ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2026 - Q2 2027,Active,,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.1717492025288, 43.7598266941598], [-79.1702954453143, 43.7601015590377], [-79.1690864585156, 43.7603231135549], [-79.1678579659028, 43.760562608152], [-79.1666351880858, 43.7607481018212], [-79.1658636208942, 43.7608898883774], [-79.1645153888148, 43.7611559833378], [-79.1640918001094, 43.7612537575918], [-79.1640467301174, 43.761262627204], [-79.1636322775794, 43.761340768032], [-79.1634380173713, 43.7613774097402], [-79.1632032854737, 43.761420288499], [-79.1627937603589, 43.7614963813335], [-79.1627117981359, 43.7615107502041], [-79.1625852313278, 43.7615193796121], [-79.1624423592323, 43.7615279616256], [-79.1624092435622, 43.7615264875376], [-79.1621883602568, 43.7615166645084]]}"
12,2213, ,2025-11-17,Local Road Rehabilitation,WALES AVE&lt;br&gt; From: AUGUSTA AVE&lt;br&gt; To: DENISON AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q2 2027 - Q4 2028,Active,,Transportation Services,"Steven Bertolo, Engineering and Construction Services",sbertol@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2027,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4015688258877, 43.6533468153691], [-79.4026878065616, 43.6531114634911]]}"
13,2577, ,2026-02-18,Local Road Reconstruction,HASLEMERE RD&lt;br&gt; From: KAPPELE AVE&lt;br&gt; To: LANGTON AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",2027 - 2030,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Osa Ehioghiren, Engineering and Construction Services",oehiogh@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2027,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.3937229185515, 43.7293319729461], [-79.3920647101273, 43.7297043106476]]}"
14,2788, ,2026-03-02,Local Road Reconstruction,DOVER AVE&lt;br&gt; From: BROWNS LINE&lt;br&gt; To: LLOYD GEORGE AVE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.5425605950632, 43.5957686235557], [-79.5429486575409, 43.5956784261486], [-79.5430568545606, 43.5956595238175], [-79.5445517101717, 43.595319512755]]}"
15,2858, ,2026-03-11,Laneway Reconstruction,Alan Borovoy Lane&lt;br&gt; From: [39.3 m E] GRACE ST (TO)&lt;br&gt; To: JERSEY AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2026 - Q2 2027,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4152006152564, 43.6554195662412], [-79.4164095716357, 43.6585765551403], [-79.4163697594062, 43.6585954981621]]}"
16,2989, ,2026-04-21,Laneway Reconstruction,[79.20 m W] HURON ST&lt;br&gt; From: DUNDAS ST W&lt;br&gt; To: D&apos;ARCY ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.3972709063245, 43.6531172627229], [-79.3974500705277, 43.653578495542], [-79.3976430744263, 43.654075299388]]}"
17,3061, ,2025-10-31,Laneway Reconstruction,[28.70 m N] SPRINGHURST AVE&lt;br&gt; From: COWAN AVE&lt;br&gt; To: DUNN AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2027 - Q4 2028,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4304991328845, 43.6343040121647], [-79.4318736417011, 43.6340241781122]]}"
18,3073, ,2026-04-21,Laneway Reconstruction,[43.30 m N] DUNDAS ST W&lt;br&gt; From: HURON ST&lt;br&gt; To: [79.20 m W] HURON ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.3963577279059, 43.6538134539269], [-79.3974500705277, 43.653578495542]]}"
19,3081, ,2026-04-21,Local Road Reconstruction,ORCHARD PARK DR&lt;br&gt; From: KINGSTON RD&lt;br&gt; To: WEST HILL DR ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.1793273630366, 43.7746799814392], [-79.1793724937866, 43.7747707128139], [-79.1794136503585, 43.7748287408155], [-79.1794531636817, 43.7748595347893], [-79.1795028874367, 43.7748832464663], [-79.1795664299426, 43.7748966815375], [-79.1796418076897, 43.7748990774229], [-79.1798225588095, 43.7749044031346], [-79.1804253829807, 43.7748996607445], [-79.1810603904613, 43.7749045237125], [-79.1817180624308, 43.7749199236184]]}"
20,3480, ,2026-03-19,Local Road Reconstruction,RIDELLE AVE&lt;br&gt; From: OVERDALE RD&lt;br&gt; To: MARWOOD RD ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2027,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4340824104198, 43.7055975320004], [-79.4352586953962, 43.7053528781632]]}"
21,3552, ,2025-10-14,Local Road Reconstruction,HIGHLAND AVE&lt;br&gt; From: [289.60 m E] HIGHLAND GDNS&lt;br&gt; To: ROXBOROUGH DR ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.3785435145386, 43.6817156190147], [-79.3776022649132, 43.6819003219836], [-79.3775600098701, 43.6819047764862], [-79.3771063502459, 43.6819898012094]]}"
22,3564,TS2023-13-044,2025-08-28,Local Road Reconstruction,SACKVILLE PL&lt;br&gt; From: WOODSTOCK PL&lt;br&gt; To: FLAGLER ST ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2025 - Q3 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Amran Durrani, Engineering and Construction Services",adurran2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.364759658338, 43.6659572730188], [-79.3646466576578, 43.6659828749929]]}"
23,3595, ,2025-10-31,Laneway Reconstruction,[79 m N] O&apos;CONNOR DR&lt;br&gt; From: HOPEDALE AVE&lt;br&gt; To: [35 m W] HOPEDALE AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2027 - Q4 2028,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.3525191549885, 43.6936711609227], [-79.3531025231468, 43.6935649128476]]}"
24,3628, ,2021-04-12,Laneway Reconstruction,NICHOLSON LANE&lt;br&gt; From: PRINCESS ST&lt;br&gt; To: BERKELEY ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026 (Carry-Over),Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.363853361954, 43.6508503853498], [-79.3665079581504, 43.6502499569073]]}"
25,3682, ,2021-07-12,Local Road Rehabilitation,RAMPART RD&lt;br&gt; From: MARTIN GROVE RD&lt;br&gt; To: [105 m E] MARTIN GROVE RD [CUL-DE-SAC] ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2024 - Q4 2025 (Carry-Over),Active,,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.5903711963217, 43.7340113037318], [-79.5899604928695, 43.7341152948613], [-79.5891731945518, 43.7343146319075], [-79.5891327342896, 43.7343373645631], [-79.5890449793373, 43.7343866786798]]}"
26,3712, ,2021-07-12,Local Road Rehabilitation,HENNING AVE&lt;br&gt; From: EGLINTON AVE W&lt;br&gt; To: [107 m N] EGLINTON AVE W [END] ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2025 - Q3 2026 (Carry-Over),Active,,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4014521157876, 43.7061002196874], [-79.4018118861901, 43.7071266382737]]}"
27,3838, ,2022-08-29,Laneway Reconstruction,[33.50 m E] EMERSON AVE&lt;br&gt; From: [30.50 m N] WALLACE AVE&lt;br&gt; To: ARMSTRONG AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Augustine Anifowose, Engineering and Construction Services",aanifow@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4419968763231, 43.6632356139409], [-79.4420207671826, 43.6633025150236], [-79.4421819084151, 43.6637535367856]]}"
28,3959, ,2023-02-13,Local Road Rehabilitation,MACPHERSON AVE&lt;br&gt; From: WALMER RD&lt;br&gt; To: KENDAL AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2026 - Q2 2027,Active,,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2026,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.4086770638926, 43.6756331312167], [-79.4092068145176, 43.6755228441598], [-79.409542868708, 43.6754528552707], [-79.4096177161817, 43.6754333996106], [-79.4096551291579, 43.6754262857373], [-79.4096781033274, 43.6754229698031], [-79.4097122263847, 43.6754239499999]]}"
29,3988, ,2023-02-13,Laneway Reconstruction,[27.40 m W] DUNCAN ST&lt;br&gt; From: [25 m N] ADELAIDE ST W&lt;br&gt; To: NELSON ST (TO) ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2027 - Q4 2027,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Osa Ehioghiren, Engineering and Construction Services",oehiogh@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2027,EXTERNAL,"{""type"": ""LineString"", ""coordinates"": [[-79.3892446711243, 43.6484187445784], [-79.389371363459, 43.6487226740694]]}"
